accession,taxid
NC_136437.1,2929260
NC_136436.1,2929271
NC_096949.1,3433542
NC_131267.1,2720912
NC_136435.1,3427707
NC_115480.1,3428675
NC_116670.1,3428658
NC_131212.1,3428657
NC_100201.1,3427595
NC_136092.1,2929265
NC_102106.1,2713298
NC_115889.1,2720908
NC_115886.1,2720904
NC_105113.1,2851990
NC_105760.1,2913092
NC_100129.1,2562601
NC_105104.1,2851975
NC_130051.1,2851974
NC_104808.1,2692510
NC_105100.1,2851970
NC_105513.1,2894750
NC_105101.1,2851971
NC_111505.1,3020453
NC_105137.1,2852023
NC_129898.1,2829846
NC_104726.1,2836106
NC_135731.1,2992788
NC_135730.1,2992787
NC_135729.1,2992785
NC_094493.1,2099658
NC_101842.1,2696439
NC_101838.1,2696435
NC_101837.1,2696434
NC_101835.1,2696430
NC_105138.1,2852026
NC_135728.1,2233993
NC_103192.1,2759218
NC_100327.1,2508197
NC_102531.1,2750849
NC_105135.1,2852021
NC_105143.1,2852031
NC_100372.1,2576874
NC_100371.1,2576873
NC_105136.1,2852022
NC_135687.1,2928926
NC_116488.1,3429998
NC_135685.1,3429262
NC_135684.1,3429261
NC_135683.1,2929266
NC_135682.1,2929268
NC_135681.1,2929315
NC_135680.1,2929248
NC_135678.1,2929258
NC_135677.1,2929263
NC_135676.1,2929262
NC_135675.1,2914474
NC_131255.1,3427694
NC_100200.1,3427593
NC_115650.1,2586183
NC_115607.1,2585037
NC_135653.1,3428499
NC_135652.1,2851486
NC_131242.1,2585066
NC_135651.1,3428153
NC_111749.1,3032420
NC_109869.1,3002892
NC_130602.1,3002891
NC_107026.1,2951185
NC_106233.1,2924903
NC_106232.1,2924902
NC_106231.1,2924901
NC_106230.1,2924900
NC_135496.1,2795667
NC_135495.1,2795668
NC_105696.1,3426438
NC_095599.1,2202247
NC_112206.1,3003559
NC_106835.1,2942418
NC_109808.1,3432974
NC_102382.1,2736258
NC_102606.1,2743970
NC_104637.1,2869568
NC_007558.1,1348384
NC_007557.1,1348384
NC_007556.1,1348384
NC_007555.1,335103
NC_007554.1,335103
NC_007553.1,335103
NC_007552.1,335103
NC_007551.1,335103
NC_007550.1,335103
NC_007549.1,335103
NC_007548.1,335103
NC_006317.1,3052299
NC_005219.1,3052480
NC_005218.1,3052480
NC_135465.1,3426391
NC_135464.1,2986011
NC_115652.1,2586185
NC_116671.1,3431834
NC_116669.1,3431840
NC_116668.1,3431839
NC_117020.1,2913392
NC_117303.1,2976460
NC_117060.1,3427952
NC_117061.1,2922909
NC_135461.1,3038664
NC_135460.1,3038663
NC_129518.1,3431830
NC_135457.1,3003943
NC_129209.1,3429808
NC_117242.1,2954191
NC_116732.1,3052109
NC_135454.1,3025750
NC_130177.1,3427530
NC_130755.1,3017169
NC_109362.1,2985286
NC_135452.1,3432268
NC_105858.1,2918650
NC_129615.1,2601638
NC_102779.1,2765371
NC_104495.1,2859564
NC_100732.1,2591055
NC_105140.1,2852028
NC_106924.1,2950726
NC_130866.1,3432369
NC_112204.1,3003819
NC_130827.1,3034284
NC_104266.1,3426492
NC_104263.1,2772518
NC_104262.1,2772517
NC_104265.1,2772520
NC_104264.1,2772519
NC_104261.1,2772516
NC_112270.1,2996058
NC_111369.1,2950459
NC_105863.1,2923096
NC_107013.1,2865825
NC_104876.1,2876728
NC_093713.1,1933115
NC_093712.1,1933114
NC_093711.1,1933113
NC_135368.1,2763103
NC_129999.1,2859527
NC_102127.1,2719179
NC_093432.1,1718594
NC_096890.1,2315619
NC_116928.1,3428947
NC_105334.1,2897410
NC_109830.1,2995280
NC_104953.1,2729570
NC_104952.1,2729569
NC_103785.1,2729382
NC_104951.1,2729568
NC_104950.1,2729567
NC_104949.1,2729566
NC_103327.1,2776771
NC_128954.1,1775249
NC_104613.1,2859528
NC_096909.1,2315705
NC_112203.1,2982918
NC_107482.1,2970334
NC_101653.1,2683673
NC_107481.1,2969659
NC_111529.1,2996053
NC_109586.1,2928836
NC_107959.1,2970324
NC_111528.1,2996049
NC_107196.1,2961687
NC_103008.1,2736280
NC_129410.1,2419745
NC_129838.1,2777301
NC_106557.1,2922323
NC_135192.1,2922321
NC_130243.1,2950724
NC_101774.1,2696337
NC_135191.1,2922322
NC_100383.1,2587819
NC_102781.1,2767513
NC_104811.1,2816459
NC_111478.1,3028143
NC_135190.1,2785386
NC_135148.1,2546634
NC_106555.1,2922319
NC_106554.1,2922318
NC_110339.1,3003728
NC_108347.1,2981543
NC_110374.1,2863152
NC_110375.1,2863149
NC_107625.1,2970322
NC_103756.1,2834252
NC_112015.1,3042444
NC_111671.1,3018529
NC_111672.1,3018530
NC_134824.1,38018
NC_134823.1,38018
NC_134822.1,38018
NC_134821.1,38018
NC_134744.1,38018
NC_111375.1,3020389
NC_111368.1,2950458
NC_108342.1,2932672
NC_108593.1,2980552
NC_103213.1,2777378
NC_104259.1,2749424
NC_134264.1,2872674
NC_110934.1,3017287
NC_105512.1,2894751
NC_105514.1,2894749
NC_130053.1,2852004
NC_104190.1,2860371
NC_105119.1,2852005
NC_100331.1,2508175
NC_108329.1,2980089
NC_106514.1,2918880
NC_106513.1,2918879
NC_105825.1,2713223
NC_106721.1,2936943
NC_105587.1,2894397
NC_134262.1,2768772
NC_105118.1,2852003
NC_111488.1,3028909
NC_111487.1,3028908
NC_133303.1,3027684
NC_133119.1,2881221
NC_106597.1,2747781
NC_103220.1,2789812
NC_103219.1,2789811
NC_103563.1,2797309
NC_111751.1,3032422
NZ_CP008698.1,1221328
NZ_CP007800.1,1232554
NC_102116.1,2713325
NC_105117.1,2851994
